,sentence,prediction,gold
0,[CLS] from the ap comes this story : [SEP] comes [SEP],"['C-V', 'C-V', 'R-ARGM-MNR', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V']","['_', '_', 'ARG2', 'V', '_', 'ARG1', '_', '_']"
1,[CLS] president bush on tuesday nominated two individuals to replace retiring jurists on federal courts in the washington area. [SEP] nominated [SEP],"['ARGM-TMP', 'C-V', 'C-V', 'C-ARG1', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG0', '_', '_', 'ARGM-TMP', 'V', '_', 'ARG1', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
2,[CLS] president bush on tuesday nominated two individuals to replace retiring jurists on federal courts in the washington area. [SEP] replace [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', 'C-V', '_', 'C-V', 'ARGM-LVB', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', 'ARG0', '_', 'V', '_', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
3,"[CLS] bush nominated jennifer m. anderson for a 15 - year term as associate judge of the superior court of the district of columbia, replacing steffen w. graae. [SEP] nominated [SEP]","['ARGM-TMP', '_', 'ARGM-LVB', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG0', 'V', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADV', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
4,"[CLS] bush nominated jennifer m. anderson for a 15 - year term as associate judge of the superior court of the district of columbia, replacing steffen w. graae. [SEP] replacing [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'ARGM-LVB', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_']"
5,"[CLS] bush also nominated a. noel anketell kramer for a 15 - year term as associate judge of the district of columbia court of appeals, replacing john montague steadman. [SEP] nominated [SEP]","['ARGM-TMP', 'R-ARG3', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG0', 'ARGM-DIS', 'V', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADV', '_', '_', '_', '_', '_', '_', '_', '_']"
6,"[CLS] bush also nominated a. noel anketell kramer for a 15 - year term as associate judge of the district of columbia court of appeals, replacing john montague steadman. [SEP] replacing [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG1', '_', '_', '_', '_', '_', '_', '_']"
7,[CLS] the sheikh in wheel - chair has been attacked with a f - 16 - launched bomb. [SEP] has [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
8,[CLS] the sheikh in wheel - chair has been attacked with a f - 16 - launched bomb. [SEP] been [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
9,[CLS] the sheikh in wheel - chair has been attacked with a f - 16 - launched bomb. [SEP] attacked [SEP],"['C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'R-ARGM-MNR', 'C-V', 'C-V']","['_', 'ARG1', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', 'ARGM-MNR', '_', '_']"
10,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] be [SEP]","['C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
11,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] killed [SEP]","['ARGM-LVB', 'ARGM-REC', 'C-V', '_', 'C-V', 'C-ARG1', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['ARG1', 'ARGM-MOD', '_', 'V', '_', 'ARGM-TMP', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
12,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] have [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', '_', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', 'ARGM-CAU', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
13,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] founded [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', '_', '_', '_', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
14,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] is [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', '_', 'C-V', 'C-V', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', 'V', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
15,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] did [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_']"
