,sentence,prediction,gold
0,[CLS] from the ap comes this story : [SEP] ap comes this [SEP],"['_', '_', 'ARG0', 'V', '_', 'ARG1', '_', 'ARG0', 'V', '_']","['_', '_', 'ARG2', 'V', '_', 'ARG1', '_', 'ARG2', 'V', '_']"
1,[CLS] president bush on tuesday nominated two individuals to replace retiring jurists on federal courts in the washington area. [SEP] tuesday nominated two [SEP],"['ARG0', 'ARG0', '_', 'ARGM-TMP', 'V', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']","['ARG0', '_', '_', 'ARGM-TMP', 'V', '_', 'ARG1', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', 'V', '_']"
2,[CLS] president bush on tuesday nominated two individuals to replace retiring jurists on federal courts in the washington area. [SEP] to replace retiring [SEP],"['_', '_', '_', '_', '_', '_', 'ARG0', '_', 'V', '_', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', 'ARG0', '_', 'V', '_', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
3,"[CLS] bush nominated jennifer m. anderson for a 15 - year term as associate judge of the superior court of the district of columbia, replacing steffen w. graae. [SEP] bush nominated jennifer [SEP]","['ARG0', 'V', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', 'ARG1']","['ARG0', 'V', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADV', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', 'ARG1']"
4,"[CLS] bush nominated jennifer m. anderson for a 15 - year term as associate judge of the superior court of the district of columbia, replacing steffen w. graae. [SEP], replacing steffen [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG1', 'ARG1']"
5,"[CLS] bush also nominated a. noel anketell kramer for a 15 - year term as associate judge of the district of columbia court of appeals, replacing john montague steadman. [SEP] also nominated a. [SEP]","['ARG0', 'ARGM-ADV', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADV', 'V', 'ARG1', '_']","['ARG0', 'ARGM-DIS', 'V', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADV', '_', '_', '_', '_', '_', '_', '_', 'ARGM-DIS', 'V', 'ARG1', 'ARG1']"
6,"[CLS] bush also nominated a. noel anketell kramer for a 15 - year term as associate judge of the district of columbia court of appeals, replacing john montague steadman. [SEP], replacing john [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG1', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG1', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG1']"
7,[CLS] the sheikh in wheel - chair has been attacked with a f - 16 - launched bomb. [SEP] chair has been [SEP],"['_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
8,[CLS] the sheikh in wheel - chair has been attacked with a f - 16 - launched bomb. [SEP] has been attacked [SEP],"['_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
9,[CLS] the sheikh in wheel - chair has been attacked with a f - 16 - launched bomb. [SEP] been attacked with [SEP],"['_', 'ARG1', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', 'ARG1', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', 'ARGM-MNR', '_', '_', 'V', '_']"
10,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] could be killed [SEP]","['_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
